Category,Description,Carbohydrate,Cholesterol,Fiber,Kilocalories,Protein,RefusePercentage,SugarTotal,HouseholdWeights.1stHouseholdWeight,HouseholdWeights.2ndHouseholdWeight,fat
LAMB,"LAMB,DOM,LEG,SIRLOIN HALF,LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,92.0,0.0,204.0,28.35,41.0,0.0,201.0,85.0,7.899999999999999
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,RAW",0.0,74.0,0.0,310.0,16.32,21.0,0.0,28.35,95.0,24.78
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",0.0,100.0,0.0,316.0,25.17,23.0,0.0,85.0,64.0,21.21
LAMB,"LAMB,DOM,LOIN,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",0.0,95.0,0.0,309.0,22.55,22.0,0.0,269.0,85.0,21.79
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,RAW",0.0,66.0,0.0,143.0,20.88,46.0,0.0,28.35,65.0,5.0600000000000005
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,95.0,0.0,216.0,29.99,44.0,0.0,85.0,46.0,8.379999999999999
LAMB,"LAMB,DOM,LOIN,LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,87.0,0.0,202.0,26.59,44.0,0.0,193.0,85.0,8.530000000000001
LAMB,"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,RAW",0.0,76.0,0.0,372.0,14.52,27.0,0.0,28.35,454.0,31.98
LAMB,"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",0.0,99.0,0.0,361.0,22.13,30.0,0.0,229.0,85.0,27.19
LAMB,"LAMB,DOM,RIB,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",0.0,97.0,0.0,359.0,21.12,28.0,0.0,255.0,85.0,27.46
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,RAW",0.0,66.0,0.0,169.0,19.98,57.0,0.0,28.35,454.0,7.85
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,91.0,0.0,235.0,27.74,55.0,0.0,147.0,85.0,11.04
LAMB,"LAMB,DOM,RIB,LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,88.0,0.0,232.0,26.16,55.0,0.0,159.0,85.0,11.46
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,RAW",0.0,72.0,0.0,264.0,16.58,21.0,0.0,28.35,454.0,19.78
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",0.0,116.0,0.0,344.0,28.68,25.0,0.0,218.0,85.0,22.38
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",0.0,97.0,0.0,278.0,24.42,24.0,0.0,248.0,85.0,17.49
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",0.0,92.0,0.0,276.0,22.51,22.0,0.0,269.0,85.0,18.23
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,RAW",0.0,66.0,0.0,144.0,19.55,39.0,0.0,28.35,454.0,5.76
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,BRSD",0.0,117.0,0.0,283.0,32.81,40.0,0.0,174.0,85.0,14.0
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,93.0,0.0,210.0,27.12,38.0,0.0,202.0,85.0,9.06
LAMB,"LAMB,DOM,SHLDR,WHL (ARM&BLD),LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,87.0,0.0,204.0,24.94,37.0,0.0,217.0,85.0,9.39
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,RAW",0.0,71.0,0.0,260.0,16.79,17.0,0.0,28.35,133.0,19.380000000000006
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",0.0,120.0,0.0,346.0,30.39,20.0,0.0,85.0,70.0,21.76
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",0.0,96.0,0.0,281.0,24.44,19.0,0.0,85.0,93.0,17.95
LAMB,"LAMB,DOM,SHLDR,ARM,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",0.0,92.0,0.0,279.0,22.53,17.0,0.0,286.0,85.0,18.65
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,RAW",0.0,64.0,0.0,132.0,19.99,37.0,0.0,28.35,101.0,4.43
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRSD",0.0,121.0,0.0,279.0,35.54,38.0,0.0,85.0,55.0,12.12
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,92.0,0.0,200.0,27.71,36.0,0.0,85.0,74.0,7.87
LAMB,"LAMB,DOM,SHLDR,ARM,LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,86.0,0.0,192.0,25.46,35.0,0.0,224.0,85.0,8.149999999999999
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,RAW",0.0,72.0,0.0,259.0,16.63,24.0,0.0,28.35,454.0,19.15
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,BRSD",0.0,116.0,0.0,345.0,28.51,28.0,0.0,209.0,85.0,22.42
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,BRLD",0.0,95.0,0.0,278.0,23.08,27.0,0.0,252.0,85.0,18.06
LAMB,"LAMB,DOM,SHLDR,BLADE,LN&FAT,1/4""FAT,CHOIC,CKD,RSTD",0.0,92.0,0.0,281.0,22.25,25.0,0.0,258.0,85.0,18.74
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,RAW",0.0,67.0,0.0,151.0,19.29,40.0,0.0,28.35,454.0,6.5
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,BRSD",0.0,117.0,0.0,288.0,32.35,42.0,0.0,168.0,85.0,14.57
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,BRLD",0.0,91.0,0.0,211.0,25.48,40.0,0.0,207.0,85.0,9.74
LAMB,"LAMB,DOM,SHLDR,BLADE,LN,1/4""FAT,CHOIC,CKD,RSTD",0.0,87.0,0.0,209.0,24.61,39.0,0.0,210.0,85.0,10.05
LAMB,"LAMB,DOM,CUBED FOR STEW OR KABOB (LEG&SHLDR),LN,1/4""FAT,RAW",0.0,65.0,0.0,134.0,20.21,0.0,0.0,28.35,454.0,4.5
LAMB,"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1/4""FAT,CKD,BRSD",0.0,108.0,0.0,223.0,33.69,0.0,0.0,272.0,85.0,7.5
LAMB,"LAMB,DOM,CUBED FOR STEW (LEG&SHLDR),LN,1/4""FAT,CKD,BRLD",0.0,90.0,0.0,186.0,28.08,0.0,0.0,327.0,85.0,6.24
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,RAW",0.0,78.0,0.0,277.0,16.74,30.0,0.0,28.35,454.0,21.270000000000003
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN&FAT,CKD",0.0,109.0,0.0,305.0,24.42,31.0,0.0,222.0,85.0,20.68
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,RAW",0.0,74.0,0.0,128.0,20.75,50.0,0.0,28.35,454.0,3.79
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,LN,CKD",0.0,109.0,0.0,206.0,29.59,49.0,0.0,164.0,85.0,7.8599999999999985
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,RAW",0.0,87.0,0.0,640.0,6.92,0.0,0.0,28.35,454.0,64.05
LAMB,"LAMB,NZ,IMP,FRZ,COMP OF RTL CUTS,FAT,CKD",0.0,109.0,0.0,586.0,9.72,0.0,0.0,286.0,85.0,57.18
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,RAW",0.0,71.0,0.0,223.0,18.04,45.0,0.0,28.35,454.0,15.07
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN&FAT,CKD,BRSD",0.0,102.0,0.0,258.0,26.97,50.0,0.0,168.0,85.0,14.65
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN,RAW",0.0,67.0,0.0,118.0,20.82,56.0,0.0,28.35,454.0,2.83
LAMB,"LAMB,NZ,IMP,FRZ,FORESHANK,LN,CKD,BRSD",0.0,101.0,0.0,186.0,30.76,59.0,0.0,138.0,85.0,5.3
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,RAW",0.0,76.0,0.0,216.0,18.34,23.0,0.0,28.35,454.0,14.21
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN&FAT,CKD,RSTD",0.0,101.0,0.0,246.0,24.81,24.0,0.0,258.0,85.0,14.37
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN,RAW",0.0,73.0,0.0,123.0,20.85,37.0,0.0,28.35,454.0,3.27
LAMB,"LAMB,NZ,IMP,FRZ,LEG,WHL (SHK&SIRL),LN,CKD,RSTD",0.0,100.0,0.0,181.0,27.68,36.0,0.0,218.0,85.0,6.21
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,RAW",0.0,83.0,0.0,303.0,16.33,24.0,0.0,28.35,65.0,24.28
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN&FAT,CKD,BRLD",0.0,112.0,0.0,315.0,23.43,27.0,0.0,85.0,43.0,22.25
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN,RAW",0.0,80.0,0.0,130.0,21.17,50.0,0.0,28.35,42.0,3.78
LAMB,"LAMB,NZ,IMP,FRZ,LOIN,LN,CKD,BRLD",0.0,114.0,0.0,199.0,29.31,49.0,0.0,85.0,30.0,7.27
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN&FAT,RAW",0.0,81.0,0.0,346.0,14.92,31.0,0.0,28.35,454.0,29.33
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN&FAT,CKD,RSTD",0.0,100.0,0.0,340.0,18.98,32.0,0.0,241.0,85.0,26.84
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN,RAW",0.0,76.0,0.0,142.0,20.49,59.0,0.0,28.35,454.0,5.21
LAMB,"LAMB,NZ,IMP,FRZ,RIB,LN,CKD,RSTD",0.0,94.0,0.0,196.0,24.42,57.0,0.0,152.0,85.0,9.01
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,RAW",0.0,75.0,0.0,272.0,16.65,25.0,0.0,28.35,454.0,20.700000000000006
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD",0.0,123.0,0.0,357.0,28.21,29.0,0.0,206.0,85.0,24.29
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN,RAW",0.0,71.0,0.0,135.0,20.25,45.0,0.0,28.35,454.0,4.67
LAMB,"LAMB,NZ,IMP,FRZ,SHLDR,WHL (ARM&BLD),LN,CKD,BRSD",0.0,127.0,0.0,285.0,34.06,46.0,0.0,157.0,85.0,13.9
VEAL,"VEAL,COMP OF RTL CUTS,LN&FAT,RAW",0.0,82.0,0.0,144.0,19.35,31.0,0.0,28.35,454.0,5.84
VEAL,"VEAL,COMP OF RTL CUTS,LN&FAT,CKD",0.0,114.0,0.0,231.0,30.1,28.0,0.0,209.0,85.0,9.48
VEAL,"VEAL,COMP OF RTL CUTS,LN,RAW",0.0,83.0,0.0,112.0,20.2,35.0,0.0,28.35,454.0,2.08
VEAL,"VEAL,COMP OF RTL CUTS,LN,CKD",0.0,118.0,0.0,196.0,31.9,34.0,0.0,192.0,85.0,4.78
VEAL,"VEAL,COMP OF RTL CUTS,FAT,RAW",0.0,73.0,0.0,638.0,6.02,0.0,0.0,28.35,454.0,64.64
VEAL,"VEAL,COMP OF RTL CUTS,FAT,CKD",0.0,73.0,0.0,642.0,9.42,0.0,0.0,290.0,85.0,63.6
VEAL,"VEAL,LEG (TOP RND),LN&FAT,RAW",0.0,78.0,0.0,117.0,20.98,0.0,0.0,28.35,454.0,2.54
VEAL,"VEAL,LEG (TOP RND),LN&FAT,CKD,BRSD",0.0,134.0,0.0,211.0,36.16,0.0,0.0,272.0,85.0,5.3599999999999985
VEAL,"VEAL,LEG (TOP RND),LN&FAT,CKD,PAN-FRIED,BREADED",9.91,112.0,0.300000012,238.0,27.29,0.0,0.5699999929999999,295.0,85.0,7.939999999999999
VEAL,"VEAL,LEG (TOP RND),LN&FAT,CKD,PAN-FRIED,NOT BREADED",0.0,105.0,0.0,211.0,31.75,0.0,0.0,304.0,85.0,6.9700000000000015
VEAL,"VEAL,LEG (TOP RND),LN&FAT,CKD,RSTD",0.0,103.0,0.0,160.0,27.7,0.0,0.0,358.0,85.0,3.92
VEAL,"VEAL,LEG (TOP RND),LN,RAW",0.0,78.0,0.0,107.0,21.28,2.0,0.0,28.35,454.0,1.27
VEAL,"VEAL,LEG (TOP RND),LN,CKD,BRSD",0.0,135.0,0.0,203.0,36.71,2.0,0.0,267.0,85.0,4.17
VEAL,"VEAL,LEG (TOP RND),LN,CKD,PAN-FRIED,BREADED",9.84,113.0,0.200000003,216.0,28.41,0.0,0.5699999929999999,295.0,85.0,5.11
VEAL,"VEAL,LEG (TOP RND),LN,CKD,PAN-FRIED,NOT BREADED",0.0,107.0,0.0,183.0,33.17,5.0,0.0,289.0,85.0,3.35
VEAL,"VEAL,LEG (TOP RND),LN,CKD,RSTD",0.0,103.0,0.0,150.0,28.07,2.0,0.0,351.0,85.0,2.7
VEAL,"VEAL,LOIN,LN&FAT,RAW",0.0,79.0,0.0,163.0,18.89,36.0,0.0,28.35,125.0,8.030000000000001
VEAL,"VEAL,LOIN,LN&FAT,CKD,BRSD",0.0,118.0,0.0,284.0,30.19,36.0,0.0,85.0,80.0,14.62
VEAL,"VEAL,LOIN,LN&FAT,CKD,RSTD",0.0,103.0,0.0,217.0,24.8,36.0,0.0,229.0,85.0,10.85
VEAL,"VEAL,LOIN,LN,RAW",0.0,80.0,0.0,116.0,20.17,42.0,0.0,28.35,113.0,2.42
VEAL,"VEAL,LOIN,LN,CKD,BRSD",0.0,125.0,0.0,226.0,33.57,45.0,0.0,85.0,69.0,6.64
VEAL,"VEAL,LOIN,LN,CKD,RSTD",0.0,106.0,0.0,175.0,26.32,42.0,0.0,208.0,85.0,5.6400000000000015
VEAL,"VEAL,RIB,LN&FAT,RAW",0.0,82.0,0.0,162.0,18.86,35.0,0.0,28.35,454.0,7.77
VEAL,"VEAL,RIB,LN&FAT,CKD,BRSD",0.0,139.0,0.0,251.0,32.43,37.0,0.0,177.0,85.0,10.54
VEAL,"VEAL,RIB,LN&FAT,CKD,RSTD",0.0,110.0,0.0,228.0,23.96,33.0,0.0,240.0,85.0,11.8
VEAL,"VEAL,RIB,LN,RAW",0.0,83.0,0.0,120.0,19.97,40.0,0.0,28.35,454.0,2.82
VEAL,"VEAL,RIB,LN,CKD,BRSD",0.0,144.0,0.0,218.0,34.44,42.0,0.0,163.0,85.0,5.92
VEAL,"VEAL,RIB,LN,CKD,RSTD",0.0,115.0,0.0,177.0,25.76,40.0,0.0,215.0,85.0,5.41
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,RAW",0.0,87.0,0.0,130.0,19.27,28.0,0.0,28.35,454.0,4.4
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,BRSD",0.0,126.0,0.0,228.0,32.06,31.0,0.0,191.0,85.0,8.379999999999999
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN&FAT,CKD,RSTD",0.0,113.0,0.0,184.0,25.32,28.0,0.0,258.0,85.0,7.17
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN,RAW",0.0,86.0,0.0,112.0,19.79,31.0,0.0,28.35,454.0,2.17
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN,CKD,BRSD",0.0,130.0,0.0,199.0,33.68,35.0,0.0,182.0,85.0,4.4300000000000015
VEAL,"VEAL,SHLDR,WHL (ARM&BLD),LN,CKD,RSTD",0.0,114.0,0.0,170.0,25.81,30.0,0.0,251.0,85.0,5.43
VEAL,"VEAL,SHLDR,ARM,LN&FAT,RAW",0.0,82.0,0.0,132.0,19.34,21.0,0.0,28.35,304.0,4.72
VEAL,"VEAL,SHLDR,ARM,LN&FAT,CKD,BRSD",0.0,148.0,0.0,236.0,33.63,23.0,0.0,85.0,173.0,8.65
VEAL,"VEAL,SHLDR,ARM,LN&FAT,CKD,RSTD",0.0,108.0,0.0,183.0,25.46,21.0,0.0,283.0,85.0,7.25
VEAL,"VEAL,SHLDR,ARM,LN,RAW",0.0,83.0,0.0,105.0,20.04,25.0,0.0,28.35,289.0,1.56
VEAL,"VEAL,SHLDR,ARM,LN,CKD,BRSD",0.0,155.0,0.0,201.0,35.73,29.0,0.0,85.0,160.0,3.87
VEAL,"VEAL,SHLDR,ARM,LN,CKD,RSTD",0.0,109.0,0.0,164.0,26.13,24.0,0.0,272.0,85.0,4.9
VEAL,"VEAL,SHLDR,BLADE,LN&FAT,RAW",0.0,90.0,0.0,129.0,19.23,32.0,0.0,28.35,454.0,4.23
VEAL,"VEAL,SHLDR,BLADE,LN&FAT,CKD,BRSD",0.0,153.0,0.0,225.0,31.26,35.0,0.0,186.0,85.0,8.23
VEAL,"VEAL,SHLDR,BLADE,LN&FAT,CKD,RSTD",0.0,117.0,0.0,186.0,25.15,32.0,0.0,244.0,85.0,7.34
VEAL,"VEAL,SHLDR,BLADE,LN,RAW",0.0,90.0,0.0,113.0,19.64,34.0,0.0,28.35,454.0,2.37
VEAL,"VEAL,SHLDR,BLADE,LN,CKD,BRSD",0.0,158.0,0.0,198.0,32.66,39.0,0.0,174.0,85.0,4.7
VEAL,"VEAL,SHLDR,BLADE,LN,CKD,RSTD",0.0,119.0,0.0,171.0,25.64,34.0,0.0,236.0,85.0,5.6
VEAL,"VEAL,SIRLOIN,LN&FAT,RAW",0.0,78.0,0.0,152.0,19.07,25.0,0.0,28.35,454.0,6.9
VEAL,"VEAL,SIRLOIN,LN&FAT,CKD,BRSD",0.0,108.0,0.0,252.0,31.26,26.0,0.0,205.0,85.0,11.2
VEAL,"VEAL,SIRLOIN,LN&FAT,CKD,RSTD",0.0,102.0,0.0,202.0,25.14,25.0,0.0,269.0,85.0,9.27
VEAL,"VEAL,SIRLOIN,LN,RAW",0.0,79.0,0.0,110.0,20.2,31.0,0.0,28.35,454.0,1.88
VEAL,"VEAL,SIRLOIN,LN,CKD,BRSD",0.0,113.0,0.0,204.0,33.96,34.0,0.0,183.0,85.0,4.73
VEAL,"VEAL,SIRLOIN,LN,CKD,RSTD",0.0,104.0,0.0,168.0,26.32,30.0,0.0,251.0,85.0,5.17
VEAL,"VEAL,CUBED FOR STEW (LEG&SHLDR),LN,RAW",0.0,84.0,0.0,109.0,20.27,0.0,0.0,28.35,454.0,1.81
VEAL,"VEAL,CUBED FOR STEW (LEG&SHLDR),LN,CKD,BRSD",0.0,145.0,0.0,188.0,34.94,0.0,0.0,263.0,85.0,3.14
VEAL,"VEAL,GROUND,RAW",0.0,82.0,0.0,144.0,19.35,0.0,0.0,28.35,113.0,5.84
VEAL,"VEAL,GROUND,CKD,BRLD",0.0,103.0,0.0,172.0,24.38,0.0,0.0,299.0,85.0,6.43
GAME MEAT,"GAME MEAT,ANTELOPE,RAW",0.0,95.0,0.0,114.0,22.38,0.0,0.0,28.35,454.0,1.66
GAME MEAT,"GAME MEAT,ANTELOPE,CKD,RSTD",0.0,126.0,0.0,150.0,29.45,0.0,0.0,340.0,85.0,2.18
GAME MEAT,"GAME MEAT,BEAR,RAW",0.0,0.0,0.0,161.0,20.1,0.0,0.0,28.35,454.0,0.0
GAME MEAT,"GAME MEAT,BEAR,CKD,SIMMRD",0.0,98.0,0.0,259.0,32.42,0.0,0.0,277.0,85.0,11.6
BISON,"BISON,GROUND,GRASS-FED,CKD",0.0,71.0,0.0,179.0,25.45,0.0,0.0,85.05,0.0,7.184
BISON,"BISON,GROUND,GRASS-FED,RAW",0.05,55.0,0.0,146.0,20.23,0.0,0.0,0.0,0.0,6.006
GAME MEAT,"GAME MEAT,BEAVER,RAW",0.0,0.0,0.0,146.0,24.05,0.0,0.0,28.35,454.0,0.0
GAME MEAT,"GAME MEAT,BEAVER,CKD,RSTD",0.0,117.0,0.0,212.0,34.85,0.0,0.0,313.0,85.0,5.3100000000000005
GAME MEAT,"GAME MEAT,BEEFALO,COMP OF CUTS,RAW",0.0,44.0,0.0,143.0,23.3,0.0,0.0,28.35,454.0,4.23
GAME MEAT,"GAME MEAT,BEEFALO,COMP OF CUTS,CKD,RSTD",0.0,58.0,0.0,188.0,30.66,0.0,0.0,340.0,85.0,5.5600000000000005
GAME MEAT,"GAME MEAT,BISON,LN,RAW",0.0,62.0,0.0,109.0,21.62,0.0,0.0,28.35,454.0,1.6
GAME MEAT,"GAME MEAT,BISON,LN,CKD,RSTD",0.0,82.0,0.0,143.0,28.44,0.0,0.0,340.0,85.0,2.1
GAME MEAT,"GAME MEAT,BOAR,WILD,RAW",0.0,0.0,0.0,122.0,21.51,0.0,0.0,28.35,454.0,2.77
GAME MEAT,"GAME MEAT,BOAR,WILD,CKD,RSTD",0.0,77.0,0.0,160.0,28.3,0.0,0.0,340.0,85.0,3.65
GAME MEAT,"GAME MEAT,BUFFALO,H2O,RAW",0.0,46.0,0.0,99.0,20.39,0.0,0.0,28.35,454.0,1.15
GAME MEAT,"GAME MEAT,BUFFALO,H2O,CKD,RSTD",0.0,61.0,0.0,131.0,26.83,0.0,0.0,340.0,85.0,1.51
GAME MEAT,"GAME MEAT,CARIBOU,RAW",0.0,83.0,0.0,127.0,22.63,0.0,0.0,28.35,454.0,2.77
GAME MEAT,"GAME MEAT,CARIBOU,CKD,RSTD",0.0,109.0,0.0,167.0,29.77,0.0,0.0,340.0,85.0,3.65
GAME MEAT,"GAME MEAT,DEER,RAW",0.0,85.0,0.0,120.0,22.96,0.0,0.0,28.35,454.0,2.09
GAME MEAT,"GAME MEAT,DEER,CKD,RSTD",0.0,112.0,0.0,158.0,30.21,0.0,0.0,340.0,85.0,2.75
GAME MEAT,"GAME MEAT,ELK,RAW",0.0,55.0,0.0,111.0,22.95,0.0,0.0,28.35,454.0,1.19
GAME MEAT,"GAME MEAT,ELK,CKD,RSTD",0.0,73.0,0.0,146.0,30.19,0.0,0.0,340.0,85.0,1.58
GOAT,"GOAT,RAW",0.0,57.0,0.0,109.0,20.6,0.0,0.0,28.35,454.0,1.91
GAME MEAT,"GAME MEAT,GOAT,CKD,RSTD",0.0,75.0,0.0,143.0,27.1,0.0,0.0,340.0,85.0,2.52
GAME MEAT,"GAME MEAT,HORSE,RAW",0.0,52.0,0.0,133.0,21.39,0.0,0.0,28.35,454.0,3.7
GAME MEAT,"GAME MEAT,HORSE,CKD,RSTD",0.0,68.0,0.0,175.0,28.14,0.0,0.0,340.0,85.0,4.87
GAME MEAT,"GAME MEAT,MOOSE,RAW",0.0,59.0,0.0,102.0,22.24,0.0,0.0,28.35,454.0,0.61
GAME MEAT,"GAME MEAT,MOOSE,CKD,RSTD",0.0,78.0,0.0,134.0,29.27,0.0,0.0,340.0,85.0,0.8
GAME MEAT,"GAME MEAT,MUSKRAT,RAW",0.0,0.0,0.0,162.0,20.76,0.0,0.0,28.35,454.0,0.0
GAME MEAT,"GAME MEAT,MUSKRAT,CKD,RSTD",0.0,121.0,0.0,234.0,30.09,0.0,0.0,313.0,85.0,0.0
GAME MEAT,"GAME MEAT,OPOSSUM,CKD,RSTD",0.0,129.0,0.0,221.0,30.2,0.0,0.0,399.0,85.0,7.9620000000000015
GAME MEAT,"GAME MEAT,RABBIT,DOMESTICATED,COMP OF CUTS,RAW",0.0,57.0,0.0,136.0,20.05,0.0,0.0,28.35,454.0,4.24
GAME MEAT,"GAME MEAT,RABBIT,DOMESTICATED,COMP OF CUTS,CKD,RSTD",0.0,82.0,0.0,197.0,29.06,0.0,0.0,313.0,85.0,6.13
GAME MEAT,"GAME MEAT,RABBIT,DOMESTICATED,COMP OF CUTS,CKD,STWD",0.0,86.0,0.0,206.0,30.38,0.0,0.0,299.0,85.0,6.41
GAME MEAT,"GAME MEAT,RABBIT,WILD,RAW",0.0,81.0,0.0,114.0,21.79,0.0,0.0,28.35,454.0,1.77
GAME MEAT,"GAME MEAT,RABBIT,WILD,CKD,STWD",0.0,123.0,0.0,173.0,33.02,0.0,0.0,299.0,85.0,2.68
GAME MEAT,"GAME MEAT,RACCOON,CKD,RSTD",0.0,97.0,0.0,255.0,29.2,0.0,0.0,399.0,85.0,11.37
GAME MEAT,"GAME MEAT,SQUIRREL,RAW",0.0,83.0,0.0,120.0,21.23,0.0,0.0,28.35,454.0,2.5
GAME MEAT,"GAME MEAT,SQUIRREL,CKD,RSTD",0.0,121.0,0.0,173.0,30.77,0.0,0.0,313.0,85.0,3.64
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",0.0,1352.0,0.0,122.0,10.4,2.0,0.0,28.35,113.0,4.62
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",0.0,2043.0,0.0,145.0,12.55,0.0,0.0,347.0,85.0,5.48
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",0.0,2504.0,0.0,273.0,16.97,0.0,0.0,240.0,85.0,11.97
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",0.0,1590.0,0.0,118.0,10.32,3.0,0.0,28.35,113.0,4.5
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,BRSD",0.0,3100.0,0.0,136.0,11.48,0.0,0.0,339.0,85.0,5.41
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,BRAIN,CKD,PAN-FRIED",0.0,2120.0,0.0,213.0,14.48,0.0,0.0,330.0,85.0,10.61
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,RAW",0.21,135.0,0.0,122.0,16.47,22.0,0.0,28.35,113.0,4.4
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",1.93,249.0,0.0,185.0,24.97,0.0,0.0,191.0,85.0,6.130000000000001
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,RAW",0.08,104.0,0.0,110.0,17.18,26.0,0.0,28.35,113.0,2.96
VEAL,"VEAL,VAR MEATS&BY-PRODUCTS,HEART,CKD,BRSD",0.13,176.0,0.0,186.0,29.12,0.0,0.0,198.0,85.0,5.0200000000000005
LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",0.82,337.0,0.0,97.0,15.74,3.0,0.0,28.35,113.0,2.18
